State,poll
Arizona,-6.35103758203
California,19.7939605433
Colorado,6.94680413392
Connecticut,13.9673695823
Florida,2.07942320278
Georgia,-8.9685783511
Hawaii,31.2329731476
Illinois,26.8689454989
Indiana,-6.87022364116
Iowa,2.32494127675
Kansas,-9.54075722393
Maine,12.7344881691
Maryland,28.8556122688
Massachusetts,21.8158972511
Michigan,8.56148458235
Minnesota,8.04648458474
Mississippi,-8.63666431435
Missouri,-1.97440258249
Montana,-7.03529525259
Nebraska,-8.66305659485
Nevada,9.02203805722
New Hampshire,-1.13269055622
New Jersey,13.5452010098
New Mexico,9.14499594544
New York,23.2067488327
North Carolina,-0.590242725331
North Dakota,-9.13833707796
Ohio,4.38365889772
Oregon,9.11669401207
Pennsylvania,5.69195264214
Rhode Island,25.9308025562
South Carolina,-6.76679008144
South Dakota,-1.13647592348
Tennessee,-2.88284606462
Texas,-2.57819116911
Utah,-29.142100213
Vermont,16.8113052033
Virginia,4.9851756192
Washington,16.1182074603
West Virginia,-9.77644909265
Wisconsin,4.90894385251
