Poll	Date	Sample	Bush (R)	Kerry (D)	Spread
Final Results	--	--	50.7	48.3	Bush +2.4
RCP Average	10/27 - 11/1	--	48.9	47.4	Bush +1.5
Marist	11/1 - 11/1	--	49	50	Kerry +1
GW/Battleground	10/31 - 11/1	--	50	46	Bush +4
IBD/TIPP	10/30 - 11/1	--	50.1	48	Bush +2.1
CBS News	10/29 - 11/1	--	49	47	Bush +2
Harris	10/29 - 11/1	--	49	48	Bush +1
FOX News	10/30 - 10/31	--	46	48	Kerry +2
Reuters/Zogby	10/29 - 10/31	--	48	47	Bush +1
CNN/USA Today/Gallup	10/29 - 10/31	--	49	49	Tie
NBC/WSJ	10/29 - 10/31	--	48	47	Bush +1
ABC/Wash Post	10/28 - 10/31	--	49	48	Bush +1
ARG	10/28 - 10/30	--	48	48	Tie
CBS News/NY Times	10/28 - 10/30	--	49	46	Bush +3
Pew Research	10/27 - 10/30	--	51	48	Bush +3
Newsweek	10/27 - 10/29	--	50	44	Bush +6
GW/Battleground	10/25 - 10/28	--	51	46	Bush +5
ICR	10/22 - 10/26	--	48	45	Bush +3
CNN/USA Today/Gallup	10/22 - 10/24	--	51	46	Bush +5
LA Times	10/21 - 10/24	--	48	48	Tie
Newsweek	10/21 - 10/22	--	48	46	Bush +2
Time	10/19 - 10/21	--	51	46	Bush +5
GW/Battleground	10/18 - 10/21	--	49	45	Bush +4
AP-Ipsos	10/18 - 10/20	--	46	49	Kerry +3
Marist	10/17 - 10/19	--	49	48	Bush +1
FOX News	10/17 - 10/18	--	49	42	Bush +7
Pew Research	10/15 - 10/19	--	47	47	Tie
ABC/Wash Post	10/16 - 10/18	--	51	46	Bush +5
NBC/WSJ	10/16 - 10/18	--	48	48	Tie
Harris	10/14 - 10/17	--	49.5	44.5	Bush +5
CBS News/NY Times	10/14 - 10/17	--	47	45	Bush +2
CNN/USA Today/Gallup	10/14 - 10/16	--	52	44	Bush +8
Time	10/14 - 10/15	--	48	47	Bush +1
Newsweek	10/14 - 10/15	--	50	44	Bush +6
GW/Battleground	10/11 - 10/14	--	49	46	Bush +3
ABC/Wash Post	10/11 - 10/13	--	48	48	Tie
Zogby	10/9 - 10/11	--	45	45	Tie
CBS News	10/9 - 10/11	--	48	45	Bush +3
ICR	10/9 - 10/11	--	48	43	Bush +5
CNN/USA Today/Gallup	10/9 - 10/10	--	48	49	Kerry +1
Time	10/6 - 10/7	--	46	45	Bush +1
GW/Battleground	10/3 - 10/7	--	49	46	Bush +3
AP-Ipsos	10/4 - 10/6	--	46	50	Kerry +4
Marist	10/4 - 10/5	--	49	46	Bush +3
FOX News	10/3 - 10/4	--	47	45	Bush +2
ICR	10/1 - 10/5	--	51	45	Bush +6
ARG	10/2 - 10/4	--	46	46	Tie
ABC News/Wash Post	10/1 - 10/3	--	51	46	Bush +5
CBS News/NY Times	10/1 - 10/3	--	47	47	Tie
Zogby	10/1 - 10/3	--	46	43	Bush +3
Pew Research	10/1 - 10/3	--	49	44	Bush +5
