State,Obama,McCain,Start,End,Pollster
AL,36,61,Oct 27,Oct 28,SurveyUSA
AL,34,54,Oct 15,Oct 16,Capital Survey
AL,35,62,Oct 08,Oct 09,SurveyUSA
AL,35,55,Oct 06,Oct 07,Capital Survey
AL,39,60,Sep 22,Sep 22,Rasmussen
AL,34,64,Sep 16,Sep 17,SurveyUSA
AL,36,58,Sep 13,Sep 16,ARG
AL,25,52,Sep 08,Sep 15,U. of South Alabama
AL,35,55,Sep 03,Sep 09,Capital Survey
AL,34,47,Jul 29,Aug 04,Capital Survey
AL,37,55,Jul 31,Jul 31,Rasmussen
AL,36,49,Jun 25,Jun 26,Capital Survey
AL,36,51,Jun 26,Jun 26,Rasmussen
AL,33,57,May 29,Jun 02,Capital Survey
AL,32,60,May 27,May 27,Rasmussen
AL,34,57,May 16,May 18,SurveyUSA
AL,36,55,Apr 16,Apr 24,Capital Survey
AL,32,64,Apr 11,Apr 13,SurveyUSA
AL,37,55,Apr 02,Apr 02,Rasmussen
AL,30,57,Mar 24,Mar 27,U. of South Alabama
AL,35,62,Mar 14,Mar 16,SurveyUSA
AL,40,54,Feb 26,Feb 28,SurveyUSA
AL,29,63,Jan 16,Jan 17,SurveyUSA
AK,41,57,Oct 28,Oct 28,Rasmussen
AK,42,53,Oct 17,Oct 19,Ivan Moore Research
AK,38,55,Oct 03,Oct 06,Ivan Moore Research
AK,40,55,Oct 06,Oct 06,Rasmussen
AK,37,55,Sep 17,Sep 21,Fairleigh Dickinson U.
AK,39,55,Sep 09,Sep 11,ARG
AK,33,64,Sep 09,Sep 09,Rasmussen
AK,35,54,Aug 30,Sep 02,Ivan Moore Research
AK,39,44,Jul 30,Jul 30,Rasmussen
AK,40,45,Jul 17,Jul 17,Rasmussen
AK,41,45,Jun 16,Jun 16,Rasmussen
AK,41,50,May 14,May 14,Rasmussen
AK,43,48,Apr 07,Apr 07,Rasmussen
AK,43,48,Feb 26,Feb 28,SurveyUSA
AZ,46,50,Oct 28,Oct 30,ARG
