Poll	Date	Sample	MoE	Obama (D)	Romney (R)	Spread
RCP Average	9/24 - 10/1	--	--	49.1	45.1	Obama +4.0
Rasmussen Tracking	9/29 - 10/1	1500 LV	3.0	48	47	Obama +1
CNN/Opinion Research	9/28 - 9/30	783 LV	3.5	50	47	Obama +3
Gallup Tracking	9/25 - 10/1	3050 RV	2.0	50	44	Obama +6
Quinnipiac	9/25 - 9/30	1912 LV	2.2	49	45	Obama +4
Wash Times/JZ Analytics	9/27 - 9/29	800 LV	3.5	50	41	Obama +9
ABC News/Wash Post	9/26 - 9/29	813 LV	4.0	49	47	Obama +2
Politico/GWU/Battleground	9/24 - 9/27	1000 LV	3.1	49	47	Obama +2
FOX News	9/24 - 9/26	1092 LV	3.0	48	43	Obama +5
Bloomberg	9/21 - 9/24	789 LV	3.5	49	43	Obama +6
Politico/GWU/Battleground	9/16 - 9/20	1000 LV	3.1	50	47	Obama +3
National Journal	9/15 - 9/19	1055 LV	3.0	50	43	Obama +7
Associated Press/GfK	9/13 - 9/17	807 LV	4.3	47	46	Obama +1
Hartford Courant/UConn	9/11 - 9/18	1186 LV	3.0	46	43	Obama +3
Rasmussen Tracking	9/14 - 9/16	1500 LV	3.0	45	47	Romney +2
Reason-Rupe/PSRAI	9/13 - 9/17	787 LV	4.3	52	45	Obama +7
Monmouth/SurveyUSA/Braun	9/13 - 9/16	1344 LV	2.7	48	45	Obama +3
Gallup Tracking	9/11 - 9/17	3050 RV	2.0	47	46	Obama +1
NBC News/Wall St. Jrnl	9/12 - 9/16	736 LV	3.6	50	45	Obama +5
Pew Research/PSRAI	9/12 - 9/16	2268 LV	2.4	51	43	Obama +8
FOX News	9/9 - 9/11	1056 LV	3.0	48	43	Obama +5
CBS News/NY Times	9/8 - 9/12	1162 LV	3.0	49	46	Obama +3
Democracy Corps (D)	9/8 - 9/12	1000 LV	3.1	50	45	Obama +5
Esquire/Yahoo! News	9/7 - 9/10	724 LV	5.0	50	46	Obama +4
Reuters/Ipsos	9/7 - 9/10	873 LV	3.4	48	45	Obama +3
