State,Votes
California,55 
Texas,38 
New York,29 
Florida,29 
Illinois,20 
Pennsylvania,20 
Ohio,18 
Michigan,16 
Georgia,16 
North Carolina,15 
New Jersey,14 
Virginia,13 
Washington,12 
Massachusetts,11 
Indiana,11 
Tennessee,11 
Arizona,11 
Missouri,10 
Maryland,10 
Minnesota,10 
Wisconsin,10 
Alabama,9 
Colorado,9 
South Carolina,9 
Louisiana,8 
Kentucky,8 
Connecticut,7 
Oklahoma,7 
Oregon,7 
Iowa,6 
Arkansas,6 
Kansas,6 
Mississippi,6 
Nevada,6 
Utah,6 
Nebraska,5 
New Mexico,5 
West Virginia,5 
Hawaii,4 
Idaho,4 
Maine,4 
New Hampshire,4 
Rhode Island,4 
Alaska,3 
Delaware,3 
District of Columbia,3 
Montana,3 
North Dakota,3 
South Dakota,3 
Vermont,3 
Wyoming,3 
