Obtained from http://online.wsj.com/public/page/economic-forecasting.html on 10/2/12

Forecaster	Institution	Q3 2012	Q4 2012
Paul Ashworth	Capital Economics	2.0	1.5
Nariman Behravesh	IHS Global Insight	1.5	1.6
Richard Berner/ David Greenlaw *	Morgan Stanley		
Ram Bhagavatula	Combinatorics Capital	2.0	4.0
Beth Ann Bovino *	Standard and Poor's		
Jay Brinkmann	Mortgage Bankers Association	1.8	1.9
Michael Carey	Credit Agricole CIB	1.7	1.6
Joseph Carson	AllianceBernstein	2.5	3.5
Julia Coronado	BNP Paribas	1.4	1.6
Mike Cosgrove	Econoclast	1.6	1.6
Lou Crandall	Wrightson ICAP	1.8	1.8
J. Dewey Daane	Vanderbilt University	1.5	1.5
Douglas Duncan	Fannie Mae	1.8	1.7
Robert Dye	Comerica Bank	2.5	2.2
Maria Fiorini Ramirez/Joshua Shapiro	MFR, Inc.	1.4	1.2
Ethan Harris	Bank of America Securities- Merrill Lynch	1.3	1.0
Maury Harris	UBS	1.5	1.8
Jan Hatzius	Goldman, Sachs & Co.	2.3	1.5
Tracy Herrick	Avidbank	1.8	1.8
Stuart Hoffman *	PNC Financial Services Group		
Gene Huang	FedEx Corp.	1.9	1.7
William B. Hummer	Wintrust Wealth Management	1.7	1.9
Bruce Kasman	JP Morgan Chase & Co.	1.5	2.0
Joseph LaVorgna	Deutsche Bank Securities Inc.	2.7	2.8
Edward Leamer/David Shulman	UCLA Anderson Forecast	1.3	1.5
Don Leavens/Tim Gill	NEMA Business Information Services	1.7	1.7
John Lonski	Moody's Investors Service	1.5	1.3
Dean Maki	Barclays Capital	2.0	2.5
Aneta Markowska *	Societe Generale		
Jim Meil/Arun Raha	Eaton Corp.	1.2	2.1
Mark Nielson	MacroEcon Global Advisors	2.2	2.8
Michael P. Niemira	International Council of Shopping Centers	2.3	2.2
Jim O'Sullivan	High Frequency Economics	2.5	2.0
Nicholas S. Perna	Perna Associates	2.2	1.5
Dr. Joel Prakken/ Chris Varvares	Macroeconomic Advisers	1.5	1.4
David Resler	Nomura Securities International	1.9	1.7
John Ryding/Conrad DeQuadros	RDQ Economics	2.1	2.4
John Silvia	Wells Fargo & Co.	1.6	1.7
Allen Sinai	Decision Economics, Inc.	2.1	2.7
James F. Smith	Parsec Financial Management	3.8	4.8
Sean M. Snaith	University of Central Florida	1.7	1.9
Sung Won Sohn	California State University	1.8	1.7
Neal Soss	CSFB	1.5	2.2
Stephen Stanley	Pierpont Securities	1.0	2.1
Susan M. Sterne	Economic Analysis Associates Inc.	2.2	1.9
Diane Swonk	Mesirow Financial	1.3	1.5
Carl Tannenbaum 	The Northern Trust	1.7	2.0
Bart van Ark	The Conference Board	1.6	1.6
Brian S. Wesbury/ Robert Stein	First Trust Advisors, L.P.	2.5	3.0
William T. Wilson	Skolkovo Institute for Emerging Market Studies	1.9	2.2
Lawrence Yun	National Association of Realtors	1.7	2.1
